sep=;
Agent1;Agent2;Domain;Agreement;Util1;Util2
RandomAgent;RandomAgent;Car Sale;YES;1.0000;0.0000
RandomAgent;RandomAgent;Car Sale;YES;0.4500;0.7600
RandomAgent;RandomAgent;Car Sale;YES;0.3000;1.0000
RandomAgent;TimeBased_Boulware;Car Sale;YES;0.3000;1.0000
RandomAgent;TimeBased_Boulware;Car Sale;YES;0.3000;1.0000
RandomAgent;TimeBased_Boulware;Car Sale;YES;0.3000;1.0000
RandomAgent;TimeBased_Conceder;Car Sale;YES;0.3000;1.0000
RandomAgent;TimeBased_Conceder;Car Sale;YES;0.3000;1.0000
RandomAgent;TimeBased_Conceder;Car Sale;YES;0.3000;1.0000
RandomAgent;AdaptiveAgent;Car Sale;YES;0.3000;1.0000
RandomAgent;AdaptiveAgent;Car Sale;YES;0.3000;1.0000
RandomAgent;AdaptiveAgent;Car Sale;YES;0.3000;1.0000
RandomAgent;MiCROAgent;Car Sale;YES;0.3000;1.0000
RandomAgent;MiCROAgent;Car Sale;YES;0.5000;0.3000
RandomAgent;MiCROAgent;Car Sale;YES;0.4500;0.7600
RandomAgent;PhoenixAgent;Car Sale;YES;0.3000;1.0000
RandomAgent;PhoenixAgent;Car Sale;YES;0.3000;1.0000
RandomAgent;PhoenixAgent;Car Sale;YES;0.3000;1.0000
RandomAgent;VortexAgent;Car Sale;YES;0.3000;1.0000
RandomAgent;VortexAgent;Car Sale;YES;0.3000;1.0000
RandomAgent;VortexAgent;Car Sale;YES;0.3000;1.0000
TimeBased_Boulware;RandomAgent;Car Sale;YES;1.0000;0.0000
TimeBased_Boulware;RandomAgent;Car Sale;YES;1.0000;0.0000
TimeBased_Boulware;RandomAgent;Car Sale;YES;1.0000;0.0000
TimeBased_Boulware;TimeBased_Boulware;Car Sale;YES;0.8000;0.7000
TimeBased_Boulware;TimeBased_Boulware;Car Sale;YES;0.8000;0.7000
TimeBased_Boulware;TimeBased_Boulware;Car Sale;YES;0.8000;0.7000
TimeBased_Boulware;TimeBased_Conceder;Car Sale;YES;0.8000;0.7000
TimeBased_Boulware;TimeBased_Conceder;Car Sale;YES;0.8000;0.7000
TimeBased_Boulware;TimeBased_Conceder;Car Sale;YES;0.8000;0.7000
TimeBased_Boulware;AdaptiveAgent;Car Sale;YES;0.3000;1.0000
TimeBased_Boulware;AdaptiveAgent;Car Sale;YES;0.3000;1.0000
TimeBased_Boulware;AdaptiveAgent;Car Sale;YES;0.3000;1.0000
TimeBased_Boulware;MiCROAgent;Car Sale;YES;0.8000;0.7000
TimeBased_Boulware;MiCROAgent;Car Sale;YES;0.8000;0.7000
TimeBased_Boulware;MiCROAgent;Car Sale;YES;0.8000;0.7000
TimeBased_Boulware;PhoenixAgent;Car Sale;YES;0.4500;0.7600
TimeBased_Boulware;PhoenixAgent;Car Sale;YES;0.4500;0.7600
TimeBased_Boulware;PhoenixAgent;Car Sale;YES;0.4500;0.7600
TimeBased_Boulware;VortexAgent;Car Sale;YES;0.8000;0.7000
TimeBased_Boulware;VortexAgent;Car Sale;YES;0.8000;0.7000
TimeBased_Boulware;VortexAgent;Car Sale;YES;0.8000;0.7000
TimeBased_Conceder;RandomAgent;Car Sale;YES;1.0000;0.0000
TimeBased_Conceder;RandomAgent;Car Sale;YES;1.0000;0.0000
TimeBased_Conceder;RandomAgent;Car Sale;YES;1.0000;0.0000
TimeBased_Conceder;TimeBased_Boulware;Car Sale;YES;0.4500;0.7600
TimeBased_Conceder;TimeBased_Boulware;Car Sale;YES;0.4500;0.7600
TimeBased_Conceder;TimeBased_Boulware;Car Sale;YES;0.4500;0.7600
TimeBased_Conceder;TimeBased_Conceder;Car Sale;YES;0.8000;0.7000
TimeBased_Conceder;TimeBased_Conceder;Car Sale;YES;0.8000;0.7000
TimeBased_Conceder;TimeBased_Conceder;Car Sale;YES;0.8000;0.7000
TimeBased_Conceder;AdaptiveAgent;Car Sale;YES;0.3000;1.0000
TimeBased_Conceder;AdaptiveAgent;Car Sale;YES;0.3000;1.0000
TimeBased_Conceder;AdaptiveAgent;Car Sale;YES;0.3000;1.0000
TimeBased_Conceder;MiCROAgent;Car Sale;YES;0.8000;0.7000
TimeBased_Conceder;MiCROAgent;Car Sale;YES;0.8000;0.7000
TimeBased_Conceder;MiCROAgent;Car Sale;YES;0.8000;0.7000
TimeBased_Conceder;PhoenixAgent;Car Sale;YES;0.3000;1.0000
TimeBased_Conceder;PhoenixAgent;Car Sale;YES;0.3000;1.0000
